Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,recovery_executed,Error_rotating_goal,RNS,Traveled_distance,Mission_time,Battery_percentage,Mission_success
14,5,8,1.51,0,13,0.99,10,10,0,3.63,47.96,20.63,0.21,0.09,0.1,0.07,-0.19,0,595,0,0,1,14.04,130.81,81.32,1
14,18,18,2.02,1,28,0.12,18,15,0,4.79,42.37,11.97,0.15,0.1,0.15,0.19,-0.23,0,377,0,0,1,10.32,86.12,87.91,1
2,7,2,4.24,0,16,0.83,4,8,0,3.45,13.69,20.35,0.18,0.09,0.16,0.08,-0.25,0,942,2,0,0.8,18.53,213.18,69,0
22,14,9,3,1,1,0.47,4,18,0,1.3,48.55,11.45,0.29,0.01,0.29,0.16,-0.04,815,853,10,0,0,1.24,103.74,94.91,0
14,7,17,2.9,1,24,0.13,13,14,0,4.69,11.87,6.72,0.35,0.07,0.05,0.06,-0.18,0,2026,10,0,0.4,25.92,484.04,29.42,0
2,18,7,2.6,1,26,0.2,17,17,1,4.82,21.09,15.52,0.3,0.06,0.17,0.06,-0.11,0,1166,5,0,0.8,21.33,277.64,58.71,0
24,4,2,2.08,0,23,0.11,3,14,1,3.01,39.13,31.45,0.47,0.08,0.29,0.03,-0.29,0,1636,6,155,0.6,26.94,352.1,48.95,0
26,19,19,0.15,1,29,0.29,4,13,1,4.7,34.43,37.05,0.49,0.02,0.14,0.14,-0.28,0,565,2,155,0.8,11.31,109.9,86.83,0
4,20,1,4.79,1,9,0.72,18,14,0,1.37,23.47,32.2,0.15,0.03,0.17,0.01,-0.02,926,959,12,0,0,1.11,114.03,77.52,0
9,3,15,3.91,0,7,0.73,14,20,1,2.82,39.11,39.95,0.5,0.01,0.21,0.19,-0.08,155,477,2,0,0.8,10.21,91.36,89,0
7,13,15,2.61,0,10,0.54,13,6,1,0.62,15.26,10.51,0.24,0.04,0.29,0.02,-0.24,0,2178,8,0,0.4,32.68,500.86,24,0
18,3,16,0.24,0,5,0.94,13,12,1,2.36,18.15,6.15,0.12,0.08,0.07,0.03,-0.15,0,1084,4,155,0.6,16.7,227.16,68.67,0
6,1,17,0.72,0,28,0.46,5,10,1,0.33,36.39,36.49,0.19,0.08,0.09,0.09,-0.05,164,438,2,0,0.8,8.2,82.32,90.38,0
27,14,3,0.52,0,4,0.84,16,14,0,2.18,25.09,31.39,0.48,0.08,0.1,0.04,-0.22,0,4630,13,0,0.8,72.32,1032.21,11.37,0
11,1,4,2.7,0,24,0.25,1,11,0,2.54,32.08,30.16,0.21,0.02,0.1,0.02,-0.19,0,1073,4,0,0.6,20.91,254.32,31.23,0
15,18,11,2.59,0,25,0.98,7,12,0,0.26,21.02,12.47,0.47,0.02,0.23,0.08,-0.15,0,966,2,0,0.8,18.19,218.03,67.7,0
24,10,13,2.9,0,3,0.38,4,16,1,4.36,7.55,29.51,0.23,0.01,0.06,0.17,-0.22,6,834,3,175,0.8,14.83,164.25,78.93,0
6,7,5,3.72,0,9,0.16,15,1,1,1.49,6.7,25.09,0.07,0.09,0.14,0.06,-0.29,7,562,2,155,0.8,12.1,108.26,86.83,0
12,11,1,1.51,0,22,0.37,13,11,1,1.45,29.1,37.56,0.4,0.09,0.06,0.09,0,771,815,10,0,0,1.33,99.93,94.91,0
26,9,11,1.39,1,4,0.8,13,11,1,3.1,7.41,5.39,0.38,0.06,0.1,0.15,-0.15,0,3054,16,0,0,39.74,731.09,11.34,0
25,11,13,0.13,0,16,0.31,15,6,0,1.19,9.43,31.38,0.47,0.03,0.24,0.04,-0.25,0,2134,9,0,0.4,36.47,501.68,23.95,0
26,3,20,3.75,1,19,0.98,20,15,1,3.8,34.83,13.08,0.22,0.04,0.09,0.08,-0.12,0,868,1,0,1,15.59,192.02,72,1
24,6,6,1.62,0,25,0.46,20,11,1,4.97,14.34,31.79,0.14,0.03,0.29,0.09,-0.06,772,793,10,0,0,0.83,95.47,95.5,0
6,7,3,0.35,1,6,0.55,13,10,0,1.65,32.8,29.36,0.49,0.06,0.23,0.1,-0.14,0,2067,10,0,0.8,32.08,493.73,25.48,0
29,20,20,4.73,1,22,0.27,17,19,1,0.18,20.77,12.46,0.21,0.04,0.11,0.1,-0.24,0,579,0,0,1,13.62,127.27,81.79,1
24,1,7,3.49,0,25,0.29,4,7,0,0.84,38.57,39.3,0.23,0.02,0.27,0.02,-0.09,1051,1108,11,0,0,1.72,134.31,92.94,0
9,6,9,3.13,1,3,0.13,7,8,0,0.57,25.02,9.49,0.27,0.06,0.13,0.12,-0.27,0,915,2,0,0.8,18.28,208.7,69.71,0
25,17,10,3.81,0,29,0.8,15,1,1,2.59,31.16,33.94,0.33,0.02,0.18,0.02,-0.25,0,1343,7,0,0.6,23.46,326.87,50.83,0
2,18,20,2.03,1,17,0.87,5,7,1,0.21,40.48,5.98,0.16,0.03,0.11,0.08,-0.22,0,1276,4,0,0.6,21.18,294.29,55.95,0
24,12,4,4.31,1,28,0.84,6,12,1,0.19,8.23,37.11,0.05,0.02,0.24,0.09,-0.06,769,788,10,0,0,0.86,94.72,95.7,0
