Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,recovery_executed,Error_rotating_goal,RNS,Traveled_distance,Mission_time,Battery_percentage,Mission_success
2,6,2,0.53,1,5,3,7,1,0,1.63,0.71,0.97,0.03,0.24,0.29,0.37,-0.04,86,90,2,0,0.8,12.47,76.6,88.49,0
2,4,1,0.36,0,11,10,4,4,0,1.72,0.72,1.15,0.04,0.17,0.11,0.11,-0.04,138,219,8,80,0.4,12.54,157.02,81.52,0
14,5,1,1.46,1,14,3,6,2,0,1.12,0.44,0.79,0.02,0.18,0.19,0.31,-0.25,80,84,2,0,0.8,13.17,74.21,88.83,0
15,5,2,0.93,0,14,4,6,3,0,1.11,0.11,0.8,0.04,0.18,0.23,0.29,-0.01,79,83,2,0,0.8,11.98,64.25,90.99,0
10,4,3,1.72,0,15,4,4,1,0,1.15,0.68,1.04,0.03,0.2,0.3,0.15,-0.26,99,103,2,0,0.8,13.07,84.43,87.32,0
9,6,4,1.37,1,18,6,6,3,1,1.76,0.95,0.99,0.01,0.27,0.17,0.2,-0.2,0,5,0,0,1,14.42,49.41,0,0
3,4,3,0.66,1,17,1,6,1,0,1.08,0.33,1.43,0.04,0.12,0.26,0.24,-0.21,0,5,0,0,1,14.97,58.77,88.67,1
5,6,2,1.82,1,5,4,5,3,1,1.93,0.22,0.82,0.03,0.21,0.27,0.27,-0.28,82,86,2,0,0.8,15.6,101.3,82.84,0
11,7,4,1.57,0,6,10,6,2,1,1.34,0.75,0.6,0.02,0.27,0.15,0.32,-0.26,87,91,2,0,0.8,14.25,90.27,85.34,0
11,6,1,1.28,1,6,10,4,4,1,1.41,0.23,0.82,0.02,0.23,0.21,0.3,-0.17,84,88,2,0,0.8,17.35,107.45,81.52,0
13,4,4,1.2,1,15,6,6,1,0,0.44,0.7,1.22,0.05,0.13,0.19,0.21,-0.16,85,168,4,80,0.8,22.67,176.39,69.89,0
1,7,2,1.2,1,16,2,4,4,1,0.76,0.67,1.25,0.04,0.28,0.12,0.1,-0.14,112,115,4,0,0.8,13.61,125.62,81.52,0
14,4,2,0.76,1,15,4,7,2,1,1.58,0.99,0.99,0.02,0.13,0.17,0.27,-0.26,1,6,0,0,1,14.64,58.25,88.79,1
4,7,3,0.29,1,16,3,7,3,1,1.7,0.53,1.47,0.03,0.28,0.18,0.24,-0.22,84,91,2,3,0.8,13.29,76.35,88.49,0
7,5,4,1.31,1,11,10,6,2,1,1.48,0.49,0.98,0.02,0.28,0.17,0.13,-0.23,0,5,0,0,1,14.48,54.55,89.99,1
6,5,3,1.07,0,12,4,5,1,1,0.4,0.93,0.87,0.04,0.11,0.17,0.25,-0.21,83,166,4,80,0.8,17.45,145.41,76.53,0
12,5,1,0.66,0,19,2,5,2,1,1.79,0.73,0.79,0.04,0.21,0.28,0.31,-0.14,80,84,2,0,0.8,13.06,66.52,90.48,0
