Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Footprint_padding_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Footprint_padding_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,DWA_invalid_trajectory,Rotate_recovery_executed,ClearCostMaps_unstuck_recovery_executed,ClearCostMaps_layer_recovery_executed,Invalid_rotation_cmd,Error_rotating_goal,2DRMS,DRMS,CPE,Euclidean_distance,RNS,Traveled_distance,Collisions,Mission_time,Battery_percentage,Mission_success
14,6,2,0.79,0.04,0,12,5,5,2,1,1.44,0.03,0.63,0.77,0.04,0.23,0.21,0.24,-0.19,4,9,0,0,0,0,0,0,4.04E-05,2.02E-05,1.23E-05,0.21,1,36.19,0,217.58,28.31,1
4,5,1,1.69,0.03,0,6,4,4,3,0,1.65,0.04,0.65,1.1,0.04,0.13,0.13,0.19,-0.29,4,9,0,0,0,0,0,0,2.52E-05,1.26E-05,7.57E-06,0.17,1,14.73,0,65.07,80.73,1
10,6,1,0.47,0.04,0,5,8,4,3,0,1.54,0.02,0.97,0.68,0.05,0.3,0.21,0.27,-0.08,85,88,1,6,6,0,1,1,8.1E-06,4.05E-06,3.36E-06,0.23,0.6,13.72,0,194.7,54.88,0
19,5,3,1.49,0.03,1,5,9,6,3,1,1.15,0.02,0.13,0.86,0.04,0.13,0.29,0.24,-0.17,239,241,0,6,6,0,0,0,5.04E-05,2.52E-05,1.56E-05,0.22,0.4,12.67,0,132.66,0,0
4,6,4,1.61,0.05,0,2,2,4,4,0,0.89,0.02,0.31,0.63,0.03,0.23,0.3,0.24,-0.02,239,241,0,6,6,0,0,0,5.55E-07,2.78E-07,2.31E-07,1.56,0.6,18.9,0,361.38,0,0
10,6,1,1.52,0.04,1,5,8,5,4,1,0.58,0.02,0.91,1.23,0.02,0.25,0.12,0.23,-0.06,0,84,80,2,2,0,80,80,4.8E-05,2.4E-05,1.67E-05,0.19,1,14.44,0,64.6,86.18,0
10,6,4,1.61,0.03,1,1,10,5,1,1,1.16,0.03,0.74,1.45,0.02,0.26,0.22,0.24,-0.13,163,166,0,4,4,0,0,0,5.85E-05,2.92E-05,1.95E-05,0.2,0.6,10.55,0,72.61,89.6,0
11,4,3,0.62,0.02,0,18,9,5,4,0,1.14,0.04,0.42,0.85,0.02,0.17,0.21,0.2,-0.2,7,12,0,0,0,0,0,0,4.1E-05,2.05E-05,1.23E-05,0.19,1,16.54,0,73.96,77.95,1
4,5,4,1.86,0.04,0,14,5,7,2,1,0.82,0.04,0.49,0.68,0.04,0.17,0.23,0.12,-0.17,3,5,0,6,6,0,0,0,1.59E-05,7.96E-06,4.94E-06,0.09,0.4,21.84,0,195.6,60.45,0
19,5,4,1.25,0.03,1,4,9,6,2,1,1.67,0.04,0.81,0.74,0.04,0.14,0.12,0.29,-0.26,3,5,0,6,6,0,0,0,1.66E-05,8.31E-06,6.6E-06,3.58,0.6,56.76,0,625.9,60.45,0
